name,dest_table_name,time,reftype,ref,state
b19121,b19121,,generator,TableRowGenerator,
b19125,b19125,,generator,TableRowGenerator,
b19126,b19126,,generator,TableRowGenerator,
b19127,b19127,,generator,TableRowGenerator,
b19128,b19128,,generator,TableRowGenerator,
b19129,b19129,,generator,TableRowGenerator,
b19130,b19130,,generator,TableRowGenerator,
b19131,b19131,,generator,TableRowGenerator,
b19201,b19201,,generator,TableRowGenerator,
b19202,b19202,,generator,TableRowGenerator,
b19202a,b19202a,,generator,TableRowGenerator,
b19202b,b19202b,,generator,TableRowGenerator,
b19202c,b19202c,,generator,TableRowGenerator,
b19202d,b19202d,,generator,TableRowGenerator,
b19202e,b19202e,,generator,TableRowGenerator,
b19202f,b19202f,,generator,TableRowGenerator,
b19202g,b19202g,,generator,TableRowGenerator,
b19202h,b19202h,,generator,TableRowGenerator,
b19202i,b19202i,,generator,TableRowGenerator,
b19214,b19214,,generator,TableRowGenerator,
b19215,b19215,,generator,TableRowGenerator,
b19216,b19216,,generator,TableRowGenerator,
b19301,b19301,,generator,TableRowGenerator,
b19301a,b19301a,,generator,TableRowGenerator,
b19301b,b19301b,,generator,TableRowGenerator,
b19301c,b19301c,,generator,TableRowGenerator,
b19301d,b19301d,,generator,TableRowGenerator,
b19301e,b19301e,,generator,TableRowGenerator,
b19301f,b19301f,,generator,TableRowGenerator,
b19301g,b19301g,,generator,TableRowGenerator,
b19301h,b19301h,,generator,TableRowGenerator,
b19301i,b19301i,,generator,TableRowGenerator,
b19313,b19313,,generator,TableRowGenerator,
b19313a,b19313a,,generator,TableRowGenerator,
b19313b,b19313b,,generator,TableRowGenerator,
b19313c,b19313c,,generator,TableRowGenerator,
b19313d,b19313d,,generator,TableRowGenerator,
b19313e,b19313e,,generator,TableRowGenerator,
b19313f,b19313f,,generator,TableRowGenerator,
b19313g,b19313g,,generator,TableRowGenerator,
b19313h,b19313h,,generator,TableRowGenerator,
b19313i,b19313i,,generator,TableRowGenerator,
b19325,b19325,,generator,TableRowGenerator,
b19326,b19326,,generator,TableRowGenerator,
b20001,b20001,,generator,TableRowGenerator,
b20002,b20002,,generator,TableRowGenerator,
b20003,b20003,,generator,TableRowGenerator,
b20004,b20004,,generator,TableRowGenerator,
b20005,b20005,,generator,TableRowGenerator,
b20005a,b20005a,,generator,TableRowGenerator,
b20005b,b20005b,,generator,TableRowGenerator,
b20005c,b20005c,,generator,TableRowGenerator,
b20005d,b20005d,,generator,TableRowGenerator,
b20005e,b20005e,,generator,TableRowGenerator,
b20005f,b20005f,,generator,TableRowGenerator,
b20005g,b20005g,,generator,TableRowGenerator,
b20005h,b20005h,,generator,TableRowGenerator,
b20005i,b20005i,,generator,TableRowGenerator,
b20017,b20017,,generator,TableRowGenerator,
b20017a,b20017a,,generator,TableRowGenerator,
b20017b,b20017b,,generator,TableRowGenerator,
b20017c,b20017c,,generator,TableRowGenerator,
b20017d,b20017d,,generator,TableRowGenerator,
b20017e,b20017e,,generator,TableRowGenerator,
b20017f,b20017f,,generator,TableRowGenerator,
b20017g,b20017g,,generator,TableRowGenerator,
b20017h,b20017h,,generator,TableRowGenerator,
b20017i,b20017i,,generator,TableRowGenerator,
b21001,b21001,,generator,TableRowGenerator,
b21001a,b21001a,,generator,TableRowGenerator,
b21001b,b21001b,,generator,TableRowGenerator,
b21001c,b21001c,,generator,TableRowGenerator,
b21001d,b21001d,,generator,TableRowGenerator,
b21001e,b21001e,,generator,TableRowGenerator,
b21001f,b21001f,,generator,TableRowGenerator,
b21001g,b21001g,,generator,TableRowGenerator,
b21001h,b21001h,,generator,TableRowGenerator,
b21001i,b21001i,,generator,TableRowGenerator,
b21002,b21002,,generator,TableRowGenerator,
b21003,b21003,,generator,TableRowGenerator,
b21004,b21004,,generator,TableRowGenerator,
b21005,b21005,,generator,TableRowGenerator,
b21007,b21007,,generator,TableRowGenerator,
b21100,b21100,,generator,TableRowGenerator,
b22001,b22001,,generator,TableRowGenerator,
b22002,b22002,,generator,TableRowGenerator,
b22003,b22003,,generator,TableRowGenerator,
b22005a,b22005a,,generator,TableRowGenerator,
b22005b,b22005b,,generator,TableRowGenerator,
b22005c,b22005c,,generator,TableRowGenerator,
b22005d,b22005d,,generator,TableRowGenerator,
b22005e,b22005e,,generator,TableRowGenerator,
b22005f,b22005f,,generator,TableRowGenerator,
b22005g,b22005g,,generator,TableRowGenerator,
b22005h,b22005h,,generator,TableRowGenerator,
b22005i,b22005i,,generator,TableRowGenerator,
b22007,b22007,,generator,TableRowGenerator,
b22008,b22008,,generator,TableRowGenerator,
b22010,b22010,,generator,TableRowGenerator,
b23001,b23001,,generator,TableRowGenerator,
b23002a,b23002a,,generator,TableRowGenerator,
b23002b,b23002b,,generator,TableRowGenerator,
b23002c,b23002c,,generator,TableRowGenerator,
b23002d,b23002d,,generator,TableRowGenerator,
b23002e,b23002e,,generator,TableRowGenerator,
b23002f,b23002f,,generator,TableRowGenerator,
b23002g,b23002g,,generator,TableRowGenerator,
b23002h,b23002h,,generator,TableRowGenerator,
b23002i,b23002i,,generator,TableRowGenerator,
b23003,b23003,,generator,TableRowGenerator,
b23006,b23006,,generator,TableRowGenerator,
b23007,b23007,,generator,TableRowGenerator,
b23008,b23008,,generator,TableRowGenerator,
b23009,b23009,,generator,TableRowGenerator,
b23010,b23010,,generator,TableRowGenerator,
b23013,b23013,,generator,TableRowGenerator,
b23018,b23018,,generator,TableRowGenerator,
b23020,b23020,,generator,TableRowGenerator,
b23022,b23022,,generator,TableRowGenerator,
b23024,b23024,,generator,TableRowGenerator,
b23025,b23025,,generator,TableRowGenerator,
b23026,b23026,,generator,TableRowGenerator,
b23027,b23027,,generator,TableRowGenerator,
b24010,b24010,,generator,TableRowGenerator,
b24010a,b24010a,,generator,TableRowGenerator,
b24010b,b24010b,,generator,TableRowGenerator,
b24010c,b24010c,,generator,TableRowGenerator,
b24010d,b24010d,,generator,TableRowGenerator,
b24010e,b24010e,,generator,TableRowGenerator,
b24010f,b24010f,,generator,TableRowGenerator,
b24010g,b24010g,,generator,TableRowGenerator,
b24010h,b24010h,,generator,TableRowGenerator,
b24010i,b24010i,,generator,TableRowGenerator,
b24011,b24011,,generator,TableRowGenerator,
b24012,b24012,,generator,TableRowGenerator,
b24020,b24020,,generator,TableRowGenerator,
b24021,b24021,,generator,TableRowGenerator,
b24022,b24022,,generator,TableRowGenerator,
b24030,b24030,,generator,TableRowGenerator,
b24031,b24031,,generator,TableRowGenerator,
b24032,b24032,,generator,TableRowGenerator,
b24040,b24040,,generator,TableRowGenerator,
b24041,b24041,,generator,TableRowGenerator,
b24042,b24042,,generator,TableRowGenerator,
b24050,b24050,,generator,TableRowGenerator,
b24060,b24060,,generator,TableRowGenerator,
c01001a,c01001a,,generator,TableRowGenerator,
c01001b,c01001b,,generator,TableRowGenerator,
c01001c,c01001c,,generator,TableRowGenerator,
c01001d,c01001d,,generator,TableRowGenerator,
c01001e,c01001e,,generator,TableRowGenerator,
c01001f,c01001f,,generator,TableRowGenerator,
c01001g,c01001g,,generator,TableRowGenerator,
c01001h,c01001h,,generator,TableRowGenerator,
c01001i,c01001i,,generator,TableRowGenerator,
c02003,c02003,,generator,TableRowGenerator,
c02014,c02014,,generator,TableRowGenerator,
c02015,c02015,,generator,TableRowGenerator,
c02016,c02016,,generator,TableRowGenerator,
c03001,c03001,,generator,TableRowGenerator,
c03002,c03002,,generator,TableRowGenerator,
c04004,c04004,,generator,TableRowGenerator,
c04005,c04005,,generator,TableRowGenerator,
c04006,c04006,,generator,TableRowGenerator,
c04007,c04007,,generator,TableRowGenerator,
c05001,c05001,,generator,TableRowGenerator,
c05002,c05002,,generator,TableRowGenerator,
c05003,c05003,,generator,TableRowGenerator,
c05005,c05005,,generator,TableRowGenerator,
c05006,c05006,,generator,TableRowGenerator,
c05009,c05009,,generator,TableRowGenerator,
c05010,c05010,,generator,TableRowGenerator,
c06001,c06001,,generator,TableRowGenerator,
c06001pr,c06001pr,,generator,TableRowGenerator,
c06007,c06007,,generator,TableRowGenerator,
c06007pr,c06007pr,,generator,TableRowGenerator,
c06008pr,c06008pr,,generator,TableRowGenerator,
c06010pr,c06010pr,,generator,TableRowGenerator,
c07001,c07001,,generator,TableRowGenerator,
c07001pr,c07001pr,,generator,TableRowGenerator,
c07008,c07008,,generator,TableRowGenerator,
c07008pr,c07008pr,,generator,TableRowGenerator,
c07201,c07201,,generator,TableRowGenerator,
c07201pr,c07201pr,,generator,TableRowGenerator,
c07204,c07204,,generator,TableRowGenerator,
c07204pr,c07204pr,,generator,TableRowGenerator,
c07401,c07401,,generator,TableRowGenerator,
c07401pr,c07401pr,,generator,TableRowGenerator,
c08006,c08006,,generator,TableRowGenerator,
c08016,c08016,,generator,TableRowGenerator,
c08101,c08101,,generator,TableRowGenerator,
c08111,c08111,,generator,TableRowGenerator,
c08113,c08113,,generator,TableRowGenerator,
c08119,c08119,,generator,TableRowGenerator,
c08122,c08122,,generator,TableRowGenerator,
c08124,c08124,,generator,TableRowGenerator,
c08126,c08126,,generator,TableRowGenerator,
c08128,c08128,,generator,TableRowGenerator,
c08130,c08130,,generator,TableRowGenerator,
c08132,c08132,,generator,TableRowGenerator,
c08134,c08134,,generator,TableRowGenerator,
c08136,c08136,,generator,TableRowGenerator,
c08141,c08141,,generator,TableRowGenerator,
c08301,c08301,,generator,TableRowGenerator,
c08406,c08406,,generator,TableRowGenerator,
c08501,c08501,,generator,TableRowGenerator,
c08511,c08511,,generator,TableRowGenerator,
c08513,c08513,,generator,TableRowGenerator,
c08519,c08519,,generator,TableRowGenerator,
c08522,c08522,,generator,TableRowGenerator,
c08524,c08524,,generator,TableRowGenerator,
c08526,c08526,,generator,TableRowGenerator,
c08528,c08528,,generator,TableRowGenerator,
c08532,c08532,,generator,TableRowGenerator,
c08534,c08534,,generator,TableRowGenerator,
c08536,c08536,,generator,TableRowGenerator,
c08541,c08541,,generator,TableRowGenerator,
c08601,c08601,,generator,TableRowGenerator,
c09008,c09008,,generator,TableRowGenerator,
c09019,c09019,,generator,TableRowGenerator,
c11005,c11005,,generator,TableRowGenerator,
c11010,c11010,,generator,TableRowGenerator,
c11013,c11013,,generator,TableRowGenerator,
c11014,c11014,,generator,TableRowGenerator,
c11016,c11016,,generator,TableRowGenerator,
c14002,c14002,,generator,TableRowGenerator,
c14003,c14003,,generator,TableRowGenerator,
c14005,c14005,,generator,TableRowGenerator,
c14007a,c14007a,,generator,TableRowGenerator,
c14007b,c14007b,,generator,TableRowGenerator,
c14007c,c14007c,,generator,TableRowGenerator,
c14007d,c14007d,,generator,TableRowGenerator,
c14007e,c14007e,,generator,TableRowGenerator,
c14007f,c14007f,,generator,TableRowGenerator,
c14007g,c14007g,,generator,TableRowGenerator,
c14007h,c14007h,,generator,TableRowGenerator,
c14007i,c14007i,,generator,TableRowGenerator,
c15002,c15002,,generator,TableRowGenerator,
c15002a,c15002a,,generator,TableRowGenerator,
c15002b,c15002b,,generator,TableRowGenerator,
c15002c,c15002c,,generator,TableRowGenerator,
c15002d,c15002d,,generator,TableRowGenerator,
c15002e,c15002e,,generator,TableRowGenerator,
c15002f,c15002f,,generator,TableRowGenerator,
c15002g,c15002g,,generator,TableRowGenerator,
c15002h,c15002h,,generator,TableRowGenerator,
c15002i,c15002i,,generator,TableRowGenerator,
c15003,c15003,,generator,TableRowGenerator,
c15010,c15010,,generator,TableRowGenerator,
c15010a,c15010a,,generator,TableRowGenerator,
c15010b,c15010b,,generator,TableRowGenerator,
c15010c,c15010c,,generator,TableRowGenerator,
c15010d,c15010d,,generator,TableRowGenerator,
c15010e,c15010e,,generator,TableRowGenerator,
c15010f,c15010f,,generator,TableRowGenerator,
c15010g,c15010g,,generator,TableRowGenerator,
c15010h,c15010h,,generator,TableRowGenerator,
c15010i,c15010i,,generator,TableRowGenerator,
c16001,c16001,,generator,TableRowGenerator,
c16003,c16003,,generator,TableRowGenerator,
c16004,c16004,,generator,TableRowGenerator,
c16005,c16005,,generator,TableRowGenerator,
c16006,c16006,,generator,TableRowGenerator,
c16007,c16007,,generator,TableRowGenerator,
c16008,c16008,,generator,TableRowGenerator,
c16009,c16009,,generator,TableRowGenerator,
c16010,c16010,,generator,TableRowGenerator,
c17001,c17001,,generator,TableRowGenerator,
c17001a,c17001a,,generator,TableRowGenerator,
c17001b,c17001b,,generator,TableRowGenerator,
c17001c,c17001c,,generator,TableRowGenerator,
c17001d,c17001d,,generator,TableRowGenerator,
c17001e,c17001e,,generator,TableRowGenerator,
c17001f,c17001f,,generator,TableRowGenerator,
c17001g,c17001g,,generator,TableRowGenerator,
c17001h,c17001h,,generator,TableRowGenerator,
c17001i,c17001i,,generator,TableRowGenerator,
c17002,c17002,,generator,TableRowGenerator,
c17003,c17003,,generator,TableRowGenerator,
c17004,c17004,,generator,TableRowGenerator,
c17006,c17006,,generator,TableRowGenerator,
c17007,c17007,,generator,TableRowGenerator,
c17009,c17009,,generator,TableRowGenerator,
c17010,c17010,,generator,TableRowGenerator,
c17010a,c17010a,,generator,TableRowGenerator,
c17010b,c17010b,,generator,TableRowGenerator,
c17010c,c17010c,,generator,TableRowGenerator,
c17010d,c17010d,,generator,TableRowGenerator,
c17010e,c17010e,,generator,TableRowGenerator,
c17010f,c17010f,,generator,TableRowGenerator,
c17010g,c17010g,,generator,TableRowGenerator,
c17010h,c17010h,,generator,TableRowGenerator,
c17010i,c17010i,,generator,TableRowGenerator,
c17012,c17012,,generator,TableRowGenerator,
c17013,c17013,,generator,TableRowGenerator,
c17014,c17014,,generator,TableRowGenerator,
c17015,c17015,,generator,TableRowGenerator,
c17016,c17016,,generator,TableRowGenerator,
c17017,c17017,,generator,TableRowGenerator,
c17018,c17018,,generator,TableRowGenerator,
c17019,c17019,,generator,TableRowGenerator,
c17021,c17021,,generator,TableRowGenerator,
c17022,c17022,,generator,TableRowGenerator,
c17023,c17023,,generator,TableRowGenerator,
c17024,c17024,,generator,TableRowGenerator,
c17025,c17025,,generator,TableRowGenerator,
c17026,c17026,,generator,TableRowGenerator,
c18101,c18101,,generator,TableRowGenerator,
c18102,c18102,,generator,TableRowGenerator,
c18103,c18103,,generator,TableRowGenerator,
c18104,c18104,,generator,TableRowGenerator,
c18105,c18105,,generator,TableRowGenerator,
c18106,c18106,,generator,TableRowGenerator,
c18107,c18107,,generator,TableRowGenerator,
c18108,c18108,,generator,TableRowGenerator,
c18120,c18120,,generator,TableRowGenerator,
c18121,c18121,,generator,TableRowGenerator,
c18130,c18130,,generator,TableRowGenerator,
c18131,c18131,,generator,TableRowGenerator,
c19131,c19131,,generator,TableRowGenerator,
c19201,c19201,,generator,TableRowGenerator,
c21001a,c21001a,,generator,TableRowGenerator,
c21001b,c21001b,,generator,TableRowGenerator,
c21001c,c21001c,,generator,TableRowGenerator,
c21001d,c21001d,,generator,TableRowGenerator,
c21001e,c21001e,,generator,TableRowGenerator,
c21001f,c21001f,,generator,TableRowGenerator,
c21001g,c21001g,,generator,TableRowGenerator,
c21001h,c21001h,,generator,TableRowGenerator,
c21001i,c21001i,,generator,TableRowGenerator,
c21005,c21005,,generator,TableRowGenerator,
c21007,c21007,,generator,TableRowGenerator,
c21100,c21100,,generator,TableRowGenerator,
c22001,c22001,,generator,TableRowGenerator,
c23001,c23001,,generator,TableRowGenerator,
c23002a,c23002a,,generator,TableRowGenerator,
c23002b,c23002b,,generator,TableRowGenerator,
c23002c,c23002c,,generator,TableRowGenerator,
c23002d,c23002d,,generator,TableRowGenerator,
c23002e,c23002e,,generator,TableRowGenerator,
c23002f,c23002f,,generator,TableRowGenerator,
c23002g,c23002g,,generator,TableRowGenerator,
c23002h,c23002h,,generator,TableRowGenerator,
c23002i,c23002i,,generator,TableRowGenerator,
c23004,c23004,,generator,TableRowGenerator,
c23007,c23007,,generator,TableRowGenerator,
c23008,c23008,,generator,TableRowGenerator,
c23022,c23022,,generator,TableRowGenerator,
c24010,c24010,,generator,TableRowGenerator,
c24020,c24020,,generator,TableRowGenerator,
c24030,c24030,,generator,TableRowGenerator,
c24040,c24040,,generator,TableRowGenerator,
c24050,c24050,,generator,TableRowGenerator,
base_url,,20141,template,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/1_year_by_state/,synced
large_area_url,,20141,template,{root}/{state_name}_All_Geographies.zip,synced
