table,seq,column,is_pk,is_fk,type,i1,size,description,d_segment,id
p12i,28,p012i025,,,INTEGER,,,85 years and over,,d1Fc180Y00s
p12i,29,p012i026,,,INTEGER,,,Female:,,d1Fc180Y00t
p12i,30,p012i027,,,INTEGER,,,Under 5 years,,d1Fc180Y00u
p12i,31,p012i028,,,INTEGER,,,5 to 9 years,,d1Fc180Y00v
p12i,32,p012i029,,,INTEGER,,,10 to 14 years,,d1Fc180Y00w
p12i,33,p012i030,,,INTEGER,,,15 to 17 years,,d1Fc180Y00x
p12i,34,p012i031,,,INTEGER,,,18 and 19 years,,d1Fc180Y00y
p12i,35,p012i032,,,INTEGER,,,20 years,,d1Fc180Y00z
p12i,36,p012i033,,,INTEGER,,,21 years,,d1Fc180Y00A
p12i,37,p012i034,,,INTEGER,,,22 to 24 years,,d1Fc180Y00B
p12i,38,p012i035,,,INTEGER,,,25 to 29 years,,d1Fc180Y00C
p12i,39,p012i036,,,INTEGER,,,30 to 34 years,,d1Fc180Y00D
p12i,40,p012i037,,,INTEGER,,,35 to 39 years,,d1Fc180Y00E
p12i,41,p012i038,,,INTEGER,,,40 to 44 years,,d1Fc180Y00F
p12i,42,p012i039,,,INTEGER,,,45 to 49 years,,d1Fc180Y00G
p12i,43,p012i040,,,INTEGER,,,50 to 54 years,,d1Fc180Y00H
p12i,44,p012i041,,,INTEGER,,,55 to 59 years,,d1Fc180Y00I
p12i,45,p012i042,,,INTEGER,,,60 and 61 years,,d1Fc180Y00J
p12i,46,p012i043,,,INTEGER,,,62 to 64 years,,d1Fc180Y00K
p12i,47,p012i044,,,INTEGER,,,65 and 66 years,,d1Fc180Y00L
p12i,48,p012i045,,,INTEGER,,,67 to 69 years,,d1Fc180Y00M
p12i,49,p012i046,,,INTEGER,,,70 to 74 years,,d1Fc180Y00N
p12i,50,p012i047,,,INTEGER,,,75 to 79 years,,d1Fc180Y00O
p12i,51,p012i048,,,INTEGER,,,80 to 84 years,,d1Fc180Y00P
p12i,52,p012i049,,,INTEGER,,,85 years and over,,d1Fc180Y00Q
,,,,,,,,,,
p13a,1,id,1,,INTEGER64,,6,,,d1Fc180Z001
p13a,2,stusab,,,VARCHAR,1,6,,,d1Fc180Z002
p13a,3,logrecno,,,INTEGER,1,7,,,d1Fc180Z003
p13a,4,p013a001,,,REAL,,,Both sexes,,d1Fc180Z004
p13a,5,p013a002,,,REAL,,,Male,,d1Fc180Z005
p13a,6,p013a003,,,REAL,,,Female,,d1Fc180Z006
,,,,,,,,,,
p13b,1,id,1,,INTEGER64,,6,,,d1Fc1810001
p13b,2,stusab,,,VARCHAR,1,6,,,d1Fc1810002
p13b,3,logrecno,,,INTEGER,1,7,,,d1Fc1810003
p13b,4,p013b001,,,REAL,,,Both sexes,,d1Fc1810004
p13b,5,p013b002,,,REAL,,,Male,,d1Fc1810005
p13b,6,p013b003,,,REAL,,,Female,,d1Fc1810006
,,,,,,,,,,
p13c,1,id,1,,INTEGER64,,6,,,d1Fc1811001
p13c,2,stusab,,,VARCHAR,1,6,,,d1Fc1811002
p13c,3,logrecno,,,INTEGER,1,7,,,d1Fc1811003
p13c,4,p013c001,,,REAL,,,Both sexes,,d1Fc1811004
p13c,5,p013c002,,,REAL,,,Male,,d1Fc1811005
p13c,6,p013c003,,,REAL,,,Female,,d1Fc1811006
,,,,,,,,,,
p13d,1,id,1,,INTEGER64,,6,,,d1Fc1812001
p13d,2,stusab,,,VARCHAR,1,6,,,d1Fc1812002
p13d,3,logrecno,,,INTEGER,1,7,,,d1Fc1812003
p13d,4,p013d001,,,REAL,,,Both sexes,,d1Fc1812004
p13d,5,p013d002,,,REAL,,,Male,,d1Fc1812005
p13d,6,p013d003,,,REAL,,,Female,,d1Fc1812006
,,,,,,,,,,
p13e,1,id,1,,INTEGER64,,6,,,d1Fc1813001
p13e,2,stusab,,,VARCHAR,1,6,,,d1Fc1813002
p13e,3,logrecno,,,INTEGER,1,7,,,d1Fc1813003
p13e,4,p013e001,,,REAL,,,Both sexes,,d1Fc1813004
p13e,5,p013e002,,,REAL,,,Male,,d1Fc1813005
p13e,6,p013e003,,,REAL,,,Female,,d1Fc1813006
,,,,,,,,,,
p13f,1,id,1,,INTEGER64,,6,,,d1Fc1814001
p13f,2,stusab,,,VARCHAR,1,6,,,d1Fc1814002
p13f,3,logrecno,,,INTEGER,1,7,,,d1Fc1814003
p13f,4,p013f001,,,REAL,,,Both sexes,,d1Fc1814004
p13f,5,p013f002,,,REAL,,,Male,,d1Fc1814005
p13f,6,p013f003,,,REAL,,,Female,,d1Fc1814006
,,,,,,,,,,
p13g,1,id,1,,INTEGER64,,6,,,d1Fc1815001
p13g,2,stusab,,,VARCHAR,1,6,,,d1Fc1815002
p13g,3,logrecno,,,INTEGER,1,7,,,d1Fc1815003
p13g,4,p013g001,,,REAL,,,Both sexes,,d1Fc1815004
p13g,5,p013g002,,,REAL,,,Male,,d1Fc1815005
p13g,6,p013g003,,,REAL,,,Female,,d1Fc1815006
,,,,,,,,,,
p13h,1,id,1,,INTEGER64,,6,,,d1Fc1816001
p13h,2,stusab,,,VARCHAR,1,6,,,d1Fc1816002
p13h,3,logrecno,,,INTEGER,1,7,,,d1Fc1816003
p13h,4,p013h001,,,REAL,,,Both sexes,,d1Fc1816004
p13h,5,p013h002,,,REAL,,,Male,,d1Fc1816005
p13h,6,p013h003,,,REAL,,,Female,,d1Fc1816006
,,,,,,,,,,
p13i,1,id,1,,INTEGER64,,6,,,d1Fc1817001
p13i,2,stusab,,,VARCHAR,1,6,,,d1Fc1817002
p13i,3,logrecno,,,INTEGER,1,7,,,d1Fc1817003
p13i,4,p013i001,,,REAL,,,Both sexes,,d1Fc1817004
p13i,5,p013i002,,,REAL,,,Male,,d1Fc1817005
p13i,6,p013i003,,,REAL,,,Female,,d1Fc1817006
,,,,,,,,,,
p16a,1,id,1,,INTEGER64,,6,,,d1Fc1818001
p16a,2,stusab,,,VARCHAR,1,6,,,d1Fc1818002
p16a,3,logrecno,,,INTEGER,1,7,,,d1Fc1818003
p16a,4,p016a001,,,INTEGER,,,Total:,,d1Fc1818004
p16a,5,p016a002,,,INTEGER,,,Under 18 years,,d1Fc1818005
p16a,6,p016a003,,,INTEGER,,,18 years and over,,d1Fc1818006
,,,,,,,,,,
p16b,1,id,1,,INTEGER64,,6,,,d1Fc1819001
p16b,2,stusab,,,VARCHAR,1,6,,,d1Fc1819002
p16b,3,logrecno,,,INTEGER,1,7,,,d1Fc1819003
p16b,4,p016b001,,,INTEGER,,,Total:,,d1Fc1819004
p16b,5,p016b002,,,INTEGER,,,Under 18 years,,d1Fc1819005
p16b,6,p016b003,,,INTEGER,,,18 years and over,,d1Fc1819006
,,,,,,,,,,
p16c,1,id,1,,INTEGER64,,6,,,d1Fc181a001
p16c,2,stusab,,,VARCHAR,1,6,,,d1Fc181a002
p16c,3,logrecno,,,INTEGER,1,7,,,d1Fc181a003
p16c,4,p016c001,,,INTEGER,,,Total:,,d1Fc181a004
p16c,5,p016c002,,,INTEGER,,,Under 18 years,,d1Fc181a005
p16c,6,p016c003,,,INTEGER,,,18 years and over,,d1Fc181a006
,,,,,,,,,,
p16d,1,id,1,,INTEGER64,,6,,,d1Fc181b001
p16d,2,stusab,,,VARCHAR,1,6,,,d1Fc181b002
p16d,3,logrecno,,,INTEGER,1,7,,,d1Fc181b003
p16d,4,p016d001,,,INTEGER,,,Total:,,d1Fc181b004
p16d,5,p016d002,,,INTEGER,,,Under 18 years,,d1Fc181b005
p16d,6,p016d003,,,INTEGER,,,18 years and over,,d1Fc181b006
,,,,,,,,,,
p16e,1,id,1,,INTEGER64,,6,,,d1Fc181c001
p16e,2,stusab,,,VARCHAR,1,6,,,d1Fc181c002
p16e,3,logrecno,,,INTEGER,1,7,,,d1Fc181c003
p16e,4,p016e001,,,INTEGER,,,Total:,,d1Fc181c004
p16e,5,p016e002,,,INTEGER,,,Under 18 years,,d1Fc181c005
p16e,6,p016e003,,,INTEGER,,,18 years and over,,d1Fc181c006
,,,,,,,,,,
p16f,1,id,1,,INTEGER64,,6,,,d1Fc181d001
p16f,2,stusab,,,VARCHAR,1,6,,,d1Fc181d002
p16f,3,logrecno,,,INTEGER,1,7,,,d1Fc181d003
p16f,4,p016f001,,,INTEGER,,,Total:,,d1Fc181d004
p16f,5,p016f002,,,INTEGER,,,Under 18 years,,d1Fc181d005
p16f,6,p016f003,,,INTEGER,,,18 years and over,,d1Fc181d006
,,,,,,,,,,
p16g,1,id,1,,INTEGER64,,6,,,d1Fc181e001
p16g,2,stusab,,,VARCHAR,1,6,,,d1Fc181e002
p16g,3,logrecno,,,INTEGER,1,7,,,d1Fc181e003
p16g,4,p016g001,,,INTEGER,,,Total:,,d1Fc181e004
p16g,5,p016g002,,,INTEGER,,,Under 18 years,,d1Fc181e005
p16g,6,p016g003,,,INTEGER,,,18 years and over,,d1Fc181e006
,,,,,,,,,,
p16h,1,id,1,,INTEGER64,,6,,,d1Fc181f001
p16h,2,stusab,,,VARCHAR,1,6,,,d1Fc181f002
p16h,3,logrecno,,,INTEGER,1,7,,,d1Fc181f003
p16h,4,p016h001,,,INTEGER,,,Total:,,d1Fc181f004
p16h,5,p016h002,,,INTEGER,,,Under 18 years,,d1Fc181f005
p16h,6,p016h003,,,INTEGER,,,18 years and over,,d1Fc181f006
,,,,,,,,,,
p16i,1,id,1,,INTEGER64,,6,,,d1Fc181g001
p16i,2,stusab,,,VARCHAR,1,6,,,d1Fc181g002
p16i,3,logrecno,,,INTEGER,1,7,,,d1Fc181g003
p16i,4,p016i001,,,INTEGER,,,Total:,,d1Fc181g004
p16i,5,p016i002,,,INTEGER,,,Under 18 years,,d1Fc181g005
p16i,6,p016i003,,,INTEGER,,,18 years and over,,d1Fc181g006
,,,,,,,,,,
p17a,1,id,1,,INTEGER64,,6,,,d1Fc181h001
p17a,2,stusab,,,VARCHAR,1,6,,,d1Fc181h002
p17a,3,logrecno,,,INTEGER,1,7,,,d1Fc181h003
p17a,4,p017a001,,,REAL,,,Total:,,d1Fc181h004
p17a,5,p017a002,,,REAL,,,Under 18 years,,d1Fc181h005
p17a,6,p017a003,,,REAL,,,18 years and over,,d1Fc181h006
,,,,,,,,,,
p17b,1,id,1,,INTEGER64,,6,,,d1Fc181i001
p17b,2,stusab,,,VARCHAR,1,6,,,d1Fc181i002
p17b,3,logrecno,,,INTEGER,1,7,,,d1Fc181i003
p17b,4,p017b001,,,REAL,,,Total:,,d1Fc181i004
p17b,5,p017b002,,,REAL,,,Under 18 years,,d1Fc181i005
p17b,6,p017b003,,,REAL,,,18 years and over,,d1Fc181i006
,,,,,,,,,,
p17c,1,id,1,,INTEGER64,,6,,,d1Fc181j001
p17c,2,stusab,,,VARCHAR,1,6,,,d1Fc181j002
p17c,3,logrecno,,,INTEGER,1,7,,,d1Fc181j003
p17c,4,p017c001,,,REAL,,,Total:,,d1Fc181j004
p17c,5,p017c002,,,REAL,,,Under 18 years,,d1Fc181j005
p17c,6,p017c003,,,REAL,,,18 years and over,,d1Fc181j006
,,,,,,,,,,
p17d,1,id,1,,INTEGER64,,6,,,d1Fc181k001
p17d,2,stusab,,,VARCHAR,1,6,,,d1Fc181k002
p17d,3,logrecno,,,INTEGER,1,7,,,d1Fc181k003
p17d,4,p017d001,,,REAL,,,Total:,,d1Fc181k004
p17d,5,p017d002,,,REAL,,,Under 18 years,,d1Fc181k005
p17d,6,p017d003,,,REAL,,,18 years and over,,d1Fc181k006
,,,,,,,,,,
p17e,1,id,1,,INTEGER64,,6,,,d1Fc181l001
p17e,2,stusab,,,VARCHAR,1,6,,,d1Fc181l002
p17e,3,logrecno,,,INTEGER,1,7,,,d1Fc181l003
p17e,4,p017e001,,,REAL,,,Total:,,d1Fc181l004
p17e,5,p017e002,,,REAL,,,Under 18 years,,d1Fc181l005
p17e,6,p017e003,,,REAL,,,18 years and over,,d1Fc181l006
,,,,,,,,,,
p17f,1,id,1,,INTEGER64,,6,,,d1Fc181m001
p17f,2,stusab,,,VARCHAR,1,6,,,d1Fc181m002
p17f,3,logrecno,,,INTEGER,1,7,,,d1Fc181m003
p17f,4,p017f001,,,REAL,,,Total:,,d1Fc181m004
p17f,5,p017f002,,,REAL,,,Under 18 years,,d1Fc181m005
p17f,6,p017f003,,,REAL,,,18 years and over,,d1Fc181m006
,,,,,,,,,,
p17g,1,id,1,,INTEGER64,,6,,,d1Fc181n001
p17g,2,stusab,,,VARCHAR,1,6,,,d1Fc181n002
p17g,3,logrecno,,,INTEGER,1,7,,,d1Fc181n003
p17g,4,p017g001,,,REAL,,,Total:,,d1Fc181n004
p17g,5,p017g002,,,REAL,,,Under 18 years,,d1Fc181n005
p17g,6,p017g003,,,REAL,,,18 years and over,,d1Fc181n006
,,,,,,,,,,
p17h,1,id,1,,INTEGER64,,6,,,d1Fc181o001
p17h,2,stusab,,,VARCHAR,1,6,,,d1Fc181o002
p17h,3,logrecno,,,INTEGER,1,7,,,d1Fc181o003
p17h,4,p017h001,,,REAL,,,Total:,,d1Fc181o004
p17h,5,p017h002,,,REAL,,,Under 18 years,,d1Fc181o005
p17h,6,p017h003,,,REAL,,,18 years and over,,d1Fc181o006
,,,,,,,,,,
p17i,1,id,1,,INTEGER64,,6,,,d1Fc181p001
p17i,2,stusab,,,VARCHAR,1,6,,,d1Fc181p002
p17i,3,logrecno,,,INTEGER,1,7,,,d1Fc181p003
p17i,4,p017i001,,,REAL,,,Total:,,d1Fc181p004
p17i,5,p017i002,,,REAL,,,Under 18 years,,d1Fc181p005
p17i,6,p017i003,,,REAL,,,18 years and over,,d1Fc181p006
,,,,,,,,,,
p18a,1,id,1,,INTEGER64,,6,,,d1Fc181q001
p18a,2,stusab,,,VARCHAR,1,6,,,d1Fc181q002
p18a,3,logrecno,,,INTEGER,1,7,,,d1Fc181q003
p18a,4,p018a001,,,INTEGER,,,Total:,,d1Fc181q004
p18a,5,p018a002,,,INTEGER,,,Family households:,,d1Fc181q005
p18a,6,p018a003,,,INTEGER,,,Husband-wife family,,d1Fc181q006
p18a,7,p018a004,,,INTEGER,,,Other family:,,d1Fc181q007
p18a,8,p018a005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181q008
p18a,9,p018a006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181q009
p18a,10,p018a007,,,INTEGER,,,Nonfamily households:,,d1Fc181q00a
p18a,11,p018a008,,,INTEGER,,,Householder living alone,,d1Fc181q00b
p18a,12,p018a009,,,INTEGER,,,Householder not living alone,,d1Fc181q00c
,,,,,,,,,,
p18b,1,id,1,,INTEGER64,,6,,,d1Fc181r001
p18b,2,stusab,,,VARCHAR,1,6,,,d1Fc181r002
p18b,3,logrecno,,,INTEGER,1,7,,,d1Fc181r003
p18b,4,p018b001,,,INTEGER,,,Total:,,d1Fc181r004
p18b,5,p018b002,,,INTEGER,,,Family households:,,d1Fc181r005
p18b,6,p018b003,,,INTEGER,,,Husband-wife family,,d1Fc181r006
p18b,7,p018b004,,,INTEGER,,,Other family:,,d1Fc181r007
p18b,8,p018b005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181r008
p18b,9,p018b006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181r009
p18b,10,p018b007,,,INTEGER,,,Nonfamily households:,,d1Fc181r00a
p18b,11,p018b008,,,INTEGER,,,Householder living alone,,d1Fc181r00b
p18b,12,p018b009,,,INTEGER,,,Householder not living alone,,d1Fc181r00c
,,,,,,,,,,
p18c,1,id,1,,INTEGER64,,6,,,d1Fc181s001
p18c,2,stusab,,,VARCHAR,1,6,,,d1Fc181s002
p18c,3,logrecno,,,INTEGER,1,7,,,d1Fc181s003
p18c,4,p018c001,,,INTEGER,,,Total:,,d1Fc181s004
p18c,5,p018c002,,,INTEGER,,,Family households:,,d1Fc181s005
p18c,6,p018c003,,,INTEGER,,,Husband-wife family,,d1Fc181s006
p18c,7,p018c004,,,INTEGER,,,Other family:,,d1Fc181s007
p18c,8,p018c005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181s008
p18c,9,p018c006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181s009
p18c,10,p018c007,,,INTEGER,,,Nonfamily households:,,d1Fc181s00a
p18c,11,p018c008,,,INTEGER,,,Householder living alone,,d1Fc181s00b
p18c,12,p018c009,,,INTEGER,,,Householder not living alone,,d1Fc181s00c
,,,,,,,,,,
p18d,1,id,1,,INTEGER64,,6,,,d1Fc181t001
p18d,2,stusab,,,VARCHAR,1,6,,,d1Fc181t002
p18d,3,logrecno,,,INTEGER,1,7,,,d1Fc181t003
p18d,4,p018d001,,,INTEGER,,,Total:,,d1Fc181t004
p18d,5,p018d002,,,INTEGER,,,Family households:,,d1Fc181t005
p18d,6,p018d003,,,INTEGER,,,Husband-wife family,,d1Fc181t006
p18d,7,p018d004,,,INTEGER,,,Other family:,,d1Fc181t007
p18d,8,p018d005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181t008
p18d,9,p018d006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181t009
p18d,10,p018d007,,,INTEGER,,,Nonfamily households:,,d1Fc181t00a
p18d,11,p018d008,,,INTEGER,,,Householder living alone,,d1Fc181t00b
p18d,12,p018d009,,,INTEGER,,,Householder not living alone,,d1Fc181t00c
,,,,,,,,,,
p18e,1,id,1,,INTEGER64,,6,,,d1Fc181u001
p18e,2,stusab,,,VARCHAR,1,6,,,d1Fc181u002
p18e,3,logrecno,,,INTEGER,1,7,,,d1Fc181u003
p18e,4,p018e001,,,INTEGER,,,Total:,,d1Fc181u004
p18e,5,p018e002,,,INTEGER,,,Family households:,,d1Fc181u005
p18e,6,p018e003,,,INTEGER,,,Husband-wife family,,d1Fc181u006
p18e,7,p018e004,,,INTEGER,,,Other family:,,d1Fc181u007
p18e,8,p018e005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181u008
p18e,9,p018e006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181u009
p18e,10,p018e007,,,INTEGER,,,Nonfamily households:,,d1Fc181u00a
p18e,11,p018e008,,,INTEGER,,,Householder living alone,,d1Fc181u00b
p18e,12,p018e009,,,INTEGER,,,Householder not living alone,,d1Fc181u00c
,,,,,,,,,,
p18f,1,id,1,,INTEGER64,,6,,,d1Fc181v001
p18f,2,stusab,,,VARCHAR,1,6,,,d1Fc181v002
p18f,3,logrecno,,,INTEGER,1,7,,,d1Fc181v003
p18f,4,p018f001,,,INTEGER,,,Total:,,d1Fc181v004
p18f,5,p018f002,,,INTEGER,,,Family households:,,d1Fc181v005
p18f,6,p018f003,,,INTEGER,,,Husband-wife family,,d1Fc181v006
p18f,7,p018f004,,,INTEGER,,,Other family:,,d1Fc181v007
p18f,8,p018f005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181v008
p18f,9,p018f006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181v009
p18f,10,p018f007,,,INTEGER,,,Nonfamily households:,,d1Fc181v00a
p18f,11,p018f008,,,INTEGER,,,Householder living alone,,d1Fc181v00b
p18f,12,p018f009,,,INTEGER,,,Householder not living alone,,d1Fc181v00c
,,,,,,,,,,
p18g,1,id,1,,INTEGER64,,6,,,d1Fc181w001
p18g,2,stusab,,,VARCHAR,1,6,,,d1Fc181w002
p18g,3,logrecno,,,INTEGER,1,7,,,d1Fc181w003
p18g,4,p018g001,,,INTEGER,,,Total:,,d1Fc181w004
p18g,5,p018g002,,,INTEGER,,,Family households:,,d1Fc181w005
p18g,6,p018g003,,,INTEGER,,,Husband-wife family,,d1Fc181w006
p18g,7,p018g004,,,INTEGER,,,Other family:,,d1Fc181w007
p18g,8,p018g005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181w008
p18g,9,p018g006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181w009
p18g,10,p018g007,,,INTEGER,,,Nonfamily households:,,d1Fc181w00a
p18g,11,p018g008,,,INTEGER,,,Householder living alone,,d1Fc181w00b
p18g,12,p018g009,,,INTEGER,,,Householder not living alone,,d1Fc181w00c
,,,,,,,,,,
p18h,1,id,1,,INTEGER64,,6,,,d1Fc181x001
p18h,2,stusab,,,VARCHAR,1,6,,,d1Fc181x002
p18h,3,logrecno,,,INTEGER,1,7,,,d1Fc181x003
p18h,4,p018h001,,,INTEGER,,,Total:,,d1Fc181x004
p18h,5,p018h002,,,INTEGER,,,Family households:,,d1Fc181x005
p18h,6,p018h003,,,INTEGER,,,Husband-wife family,,d1Fc181x006
p18h,7,p018h004,,,INTEGER,,,Other family:,,d1Fc181x007
p18h,8,p018h005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181x008
p18h,9,p018h006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181x009
p18h,10,p018h007,,,INTEGER,,,Nonfamily households:,,d1Fc181x00a
p18h,11,p018h008,,,INTEGER,,,Householder living alone,,d1Fc181x00b
p18h,12,p018h009,,,INTEGER,,,Householder not living alone,,d1Fc181x00c
,,,,,,,,,,
p18i,1,id,1,,INTEGER64,,6,,,d1Fc181y001
p18i,2,stusab,,,VARCHAR,1,6,,,d1Fc181y002
p18i,3,logrecno,,,INTEGER,1,7,,,d1Fc181y003
p18i,4,p018i001,,,INTEGER,,,Total:,,d1Fc181y004
p18i,5,p018i002,,,INTEGER,,,Family households:,,d1Fc181y005
p18i,6,p018i003,,,INTEGER,,,Husband-wife family,,d1Fc181y006
p18i,7,p018i004,,,INTEGER,,,Other family:,,d1Fc181y007
p18i,8,p018i005,,,INTEGER,,,"Male householder, no wife present",,d1Fc181y008
p18i,9,p018i006,,,INTEGER,,,"Female householder, no husband present",,d1Fc181y009
p18i,10,p018i007,,,INTEGER,,,Nonfamily households:,,d1Fc181y00a
p18i,11,p018i008,,,INTEGER,,,Householder living alone,,d1Fc181y00b
p18i,12,p018i009,,,INTEGER,,,Householder not living alone,,d1Fc181y00c
,,,,,,,,,,
p28a,1,id,1,,INTEGER64,,6,,,d1Fc181z001
p28a,2,stusab,,,VARCHAR,1,6,,,d1Fc181z002
p28a,3,logrecno,,,INTEGER,1,7,,,d1Fc181z003
p28a,4,p028a001,,,INTEGER,,,Total:,,d1Fc181z004
p28a,5,p028a002,,,INTEGER,,,Family households:,,d1Fc181z005
p28a,6,p028a003,,,INTEGER,,,2-person household,,d1Fc181z006
p28a,7,p028a004,,,INTEGER,,,3-person household,,d1Fc181z007
p28a,8,p028a005,,,INTEGER,,,4-person household,,d1Fc181z008
p28a,9,p028a006,,,INTEGER,,,5-person household,,d1Fc181z009
p28a,10,p028a007,,,INTEGER,,,6-person household,,d1Fc181z00a
p28a,11,p028a008,,,INTEGER,,,7-or-more-person household,,d1Fc181z00b
p28a,12,p028a009,,,INTEGER,,,Nonfamily households:,,d1Fc181z00c
p28a,13,p028a010,,,INTEGER,,,1-person household,,d1Fc181z00d
p28a,14,p028a011,,,INTEGER,,,2-person household,,d1Fc181z00e
p28a,15,p028a012,,,INTEGER,,,3-person household,,d1Fc181z00f
p28a,16,p028a013,,,INTEGER,,,4-person household,,d1Fc181z00g
p28a,17,p028a014,,,INTEGER,,,5-person household,,d1Fc181z00h
p28a,18,p028a015,,,INTEGER,,,6-person household,,d1Fc181z00i
p28a,19,p028a016,,,INTEGER,,,7-or-more-person household,,d1Fc181z00j
,,,,,,,,,,
p28b,1,id,1,,INTEGER64,,6,,,d1Fc181A001
p28b,2,stusab,,,VARCHAR,1,6,,,d1Fc181A002
p28b,3,logrecno,,,INTEGER,1,7,,,d1Fc181A003
p28b,4,p028b001,,,INTEGER,,,Total:,,d1Fc181A004
p28b,5,p028b002,,,INTEGER,,,Family households:,,d1Fc181A005
p28b,6,p028b003,,,INTEGER,,,2-person household,,d1Fc181A006
p28b,7,p028b004,,,INTEGER,,,3-person household,,d1Fc181A007
p28b,8,p028b005,,,INTEGER,,,4-person household,,d1Fc181A008
p28b,9,p028b006,,,INTEGER,,,5-person household,,d1Fc181A009
p28b,10,p028b007,,,INTEGER,,,6-person household,,d1Fc181A00a
p28b,11,p028b008,,,INTEGER,,,7-or-more-person household,,d1Fc181A00b
p28b,12,p028b009,,,INTEGER,,,Nonfamily households:,,d1Fc181A00c
p28b,13,p028b010,,,INTEGER,,,1-person household,,d1Fc181A00d
p28b,14,p028b011,,,INTEGER,,,2-person household,,d1Fc181A00e
p28b,15,p028b012,,,INTEGER,,,3-person household,,d1Fc181A00f
p28b,16,p028b013,,,INTEGER,,,4-person household,,d1Fc181A00g
p28b,17,p028b014,,,INTEGER,,,5-person household,,d1Fc181A00h
p28b,18,p028b015,,,INTEGER,,,6-person household,,d1Fc181A00i
p28b,19,p028b016,,,INTEGER,,,7-or-more-person household,,d1Fc181A00j
,,,,,,,,,,
p28c,1,id,1,,INTEGER64,,6,,,d1Fc181B001
p28c,2,stusab,,,VARCHAR,1,6,,,d1Fc181B002
p28c,3,logrecno,,,INTEGER,1,7,,,d1Fc181B003
p28c,4,p028c001,,,INTEGER,,,Total:,,d1Fc181B004
p28c,5,p028c002,,,INTEGER,,,Family households:,,d1Fc181B005
p28c,6,p028c003,,,INTEGER,,,2-person household,,d1Fc181B006
p28c,7,p028c004,,,INTEGER,,,3-person household,,d1Fc181B007
p28c,8,p028c005,,,INTEGER,,,4-person household,,d1Fc181B008
p28c,9,p028c006,,,INTEGER,,,5-person household,,d1Fc181B009
p28c,10,p028c007,,,INTEGER,,,6-person household,,d1Fc181B00a
p28c,11,p028c008,,,INTEGER,,,7-or-more-person household,,d1Fc181B00b
p28c,12,p028c009,,,INTEGER,,,Nonfamily households:,,d1Fc181B00c
p28c,13,p028c010,,,INTEGER,,,1-person household,,d1Fc181B00d
p28c,14,p028c011,,,INTEGER,,,2-person household,,d1Fc181B00e
p28c,15,p028c012,,,INTEGER,,,3-person household,,d1Fc181B00f
p28c,16,p028c013,,,INTEGER,,,4-person household,,d1Fc181B00g
p28c,17,p028c014,,,INTEGER,,,5-person household,,d1Fc181B00h
p28c,18,p028c015,,,INTEGER,,,6-person household,,d1Fc181B00i
p28c,19,p028c016,,,INTEGER,,,7-or-more-person household,,d1Fc181B00j
,,,,,,,,,,
p28d,1,id,1,,INTEGER64,,6,,,d1Fc181C001
p28d,2,stusab,,,VARCHAR,1,6,,,d1Fc181C002
p28d,3,logrecno,,,INTEGER,1,7,,,d1Fc181C003
p28d,4,p028d001,,,INTEGER,,,Total:,,d1Fc181C004
p28d,5,p028d002,,,INTEGER,,,Family households:,,d1Fc181C005
p28d,6,p028d003,,,INTEGER,,,2-person household,,d1Fc181C006
p28d,7,p028d004,,,INTEGER,,,3-person household,,d1Fc181C007
p28d,8,p028d005,,,INTEGER,,,4-person household,,d1Fc181C008
p28d,9,p028d006,,,INTEGER,,,5-person household,,d1Fc181C009
p28d,10,p028d007,,,INTEGER,,,6-person household,,d1Fc181C00a
p28d,11,p028d008,,,INTEGER,,,7-or-more-person household,,d1Fc181C00b
p28d,12,p028d009,,,INTEGER,,,Nonfamily households:,,d1Fc181C00c
p28d,13,p028d010,,,INTEGER,,,1-person household,,d1Fc181C00d
p28d,14,p028d011,,,INTEGER,,,2-person household,,d1Fc181C00e
p28d,15,p028d012,,,INTEGER,,,3-person household,,d1Fc181C00f
p28d,16,p028d013,,,INTEGER,,,4-person household,,d1Fc181C00g
p28d,17,p028d014,,,INTEGER,,,5-person household,,d1Fc181C00h
p28d,18,p028d015,,,INTEGER,,,6-person household,,d1Fc181C00i
p28d,19,p028d016,,,INTEGER,,,7-or-more-person household,,d1Fc181C00j
,,,,,,,,,,
p28e,1,id,1,,INTEGER64,,6,,,d1Fc181D001
p28e,2,stusab,,,VARCHAR,1,6,,,d1Fc181D002
p28e,3,logrecno,,,INTEGER,1,7,,,d1Fc181D003
p28e,4,p028e001,,,INTEGER,,,Total:,,d1Fc181D004
