table,seq,column,is_pk,is_fk,type,ui1,size,description,id
p10,24,p0100022,,,INTEGER,,,American Indian and Alaska Native; Some Other Race,d4d0RJ0u00o
p10,25,p0100023,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00p
p10,26,p0100024,,,INTEGER,,,Asian; Some Other Race,d4d0RJ0u00q
p10,27,p0100025,,,INTEGER,,,Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00r
p10,28,p0100026,,,INTEGER,,,Population of three races:,d4d0RJ0u00s
p10,29,p0100027,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native,d4d0RJ0u00t
p10,30,p0100028,,,INTEGER,,,White; Black or African American; Asian,d4d0RJ0u00u
p10,31,p0100029,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00v
p10,32,p0100030,,,INTEGER,,,White; Black or African American; Some Other Race,d4d0RJ0u00w
p10,33,p0100031,,,INTEGER,,,White; American Indian and Alaska Native; Asian,d4d0RJ0u00x
p10,34,p0100032,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00y
p10,35,p0100033,,,INTEGER,,,White; American Indian and Alaska Native; Some Other Race,d4d0RJ0u00z
p10,36,p0100034,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00A
p10,37,p0100035,,,INTEGER,,,White; Asian; Some Other Race,d4d0RJ0u00B
p10,38,p0100036,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00C
p10,39,p0100037,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian,d4d0RJ0u00D
p10,40,p0100038,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00E
p10,41,p0100039,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Some Other Race,d4d0RJ0u00F
p10,42,p0100040,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00G
p10,43,p0100041,,,INTEGER,,,Black or African American; Asian; Some Other Race,d4d0RJ0u00H
p10,44,p0100042,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00I
p10,45,p0100043,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00J
p10,46,p0100044,,,INTEGER,,,American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0u00K
p10,47,p0100045,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00L
p10,48,p0100046,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00M
p10,49,p0100047,,,INTEGER,,,Population of four races:,d4d0RJ0u00N
p10,50,p0100048,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian,d4d0RJ0u00O
p10,51,p0100049,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00P
p10,52,p0100050,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Some Other Race,d4d0RJ0u00Q
p10,53,p0100051,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00R
p10,54,p0100052,,,INTEGER,,,White; Black or African American; Asian; Some Other Race,d4d0RJ0u00S
p10,55,p0100053,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00T
p10,56,p0100054,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00U
p10,57,p0100055,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0u00V
p10,58,p0100056,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00W
p10,59,p0100057,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u00X
p10,60,p0100058,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00Y
p10,61,p0100059,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0u00Z
p10,62,p0100060,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u010
p10,63,p0100061,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u011
p10,64,p0100062,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u012
p10,65,p0100063,,,INTEGER,,,Population of five races:,d4d0RJ0u013
p10,66,p0100064,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0u014
p10,67,p0100065,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0u015
p10,68,p0100066,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u016
p10,69,p0100067,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u017
p10,70,p0100068,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u018
p10,71,p0100069,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u019
p10,72,p0100070,,,INTEGER,,,Population of six races:,d4d0RJ0u01a
p10,73,p0100071,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0u01b
,,,,,,,,,
p11,1,id,1,,INTEGER64,,6,,d4d0RJ0v001
p11,2,geoid,,,VARCHAR,1,,,d4d0RJ0v002
p11,3,p0110001,,,INTEGER,,,Total:,d4d0RJ0v003
p11,4,p0110002,,,INTEGER,,,Hispanic or Latino,d4d0RJ0v004
p11,5,p0110003,,,INTEGER,,,Not Hispanic or Latino:,d4d0RJ0v005
p11,6,p0110004,,,INTEGER,,,Population of one race:,d4d0RJ0v006
p11,7,p0110005,,,INTEGER,,,White alone,d4d0RJ0v007
p11,8,p0110006,,,INTEGER,,,Black or African American alone,d4d0RJ0v008
p11,9,p0110007,,,INTEGER,,,American Indian and Alaska Native alone,d4d0RJ0v009
p11,10,p0110008,,,INTEGER,,,Asian alone,d4d0RJ0v00a
p11,11,p0110009,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,d4d0RJ0v00b
p11,12,p0110010,,,INTEGER,,,Some Other Race alone,d4d0RJ0v00c
p11,13,p0110011,,,INTEGER,,,Two or More Races:,d4d0RJ0v00d
p11,14,p0110012,,,INTEGER,,,Population of two races:,d4d0RJ0v00e
p11,15,p0110013,,,INTEGER,,,White; Black or African American,d4d0RJ0v00f
p11,16,p0110014,,,INTEGER,,,White; American Indian and Alaska Native,d4d0RJ0v00g
p11,17,p0110015,,,INTEGER,,,White; Asian,d4d0RJ0v00h
p11,18,p0110016,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00i
p11,19,p0110017,,,INTEGER,,,White; Some Other Race,d4d0RJ0v00j
p11,20,p0110018,,,INTEGER,,,Black or African American; American Indian and Alaska Native,d4d0RJ0v00k
p11,21,p0110019,,,INTEGER,,,Black or African American; Asian,d4d0RJ0v00l
p11,22,p0110020,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00m
p11,23,p0110021,,,INTEGER,,,Black or African American; Some Other Race,d4d0RJ0v00n
p11,24,p0110022,,,INTEGER,,,American Indian and Alaska Native; Asian,d4d0RJ0v00o
p11,25,p0110023,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00p
p11,26,p0110024,,,INTEGER,,,American Indian and Alaska Native; Some Other Race,d4d0RJ0v00q
p11,27,p0110025,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00r
p11,28,p0110026,,,INTEGER,,,Asian; Some Other Race,d4d0RJ0v00s
p11,29,p0110027,,,INTEGER,,,Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00t
p11,30,p0110028,,,INTEGER,,,Population of three races:,d4d0RJ0v00u
p11,31,p0110029,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native,d4d0RJ0v00v
p11,32,p0110030,,,INTEGER,,,White; Black or African American; Asian,d4d0RJ0v00w
p11,33,p0110031,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00x
p11,34,p0110032,,,INTEGER,,,White; Black or African American; Some Other Race,d4d0RJ0v00y
p11,35,p0110033,,,INTEGER,,,White; American Indian and Alaska Native; Asian,d4d0RJ0v00z
p11,36,p0110034,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00A
p11,37,p0110035,,,INTEGER,,,White; American Indian and Alaska Native; Some Other Race,d4d0RJ0v00B
p11,38,p0110036,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00C
p11,39,p0110037,,,INTEGER,,,White; Asian; Some Other Race,d4d0RJ0v00D
p11,40,p0110038,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00E
p11,41,p0110039,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian,d4d0RJ0v00F
p11,42,p0110040,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00G
p11,43,p0110041,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Some Other Race,d4d0RJ0v00H
p11,44,p0110042,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00I
p11,45,p0110043,,,INTEGER,,,Black or African American; Asian; Some Other Race,d4d0RJ0v00J
p11,46,p0110044,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00K
p11,47,p0110045,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00L
p11,48,p0110046,,,INTEGER,,,American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0v00M
p11,49,p0110047,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00N
p11,50,p0110048,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00O
p11,51,p0110049,,,INTEGER,,,Population of four races:,d4d0RJ0v00P
p11,52,p0110050,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian,d4d0RJ0v00Q
p11,53,p0110051,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00R
p11,54,p0110052,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Some Other Race,d4d0RJ0v00S
p11,55,p0110053,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00T
p11,56,p0110054,,,INTEGER,,,White; Black or African American; Asian; Some Other Race,d4d0RJ0v00U
p11,57,p0110055,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00V
p11,58,p0110056,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v00W
p11,59,p0110057,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0v00X
p11,60,p0110058,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00Y
p11,61,p0110059,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v00Z
p11,62,p0110060,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v010
p11,63,p0110061,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0v011
p11,64,p0110062,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v012
p11,65,p0110063,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v013
p11,66,p0110064,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v014
p11,67,p0110065,,,INTEGER,,,Population of five races:,d4d0RJ0v015
p11,68,p0110066,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,d4d0RJ0v016
p11,69,p0110067,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,d4d0RJ0v017
p11,70,p0110068,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v018
p11,71,p0110069,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v019
p11,72,p0110070,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v01a
p11,73,p0110071,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v01b
p11,74,p0110072,,,INTEGER,,,Population of six races:,d4d0RJ0v01c
p11,75,p0110073,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,d4d0RJ0v01d
,,,,,,,,,
p12,1,id,1,,INTEGER64,,6,,d4d0RJ0w001
p12,2,geoid,,,VARCHAR,1,,,d4d0RJ0w002
p12,3,p0120001,,,INTEGER,,,Total:,d4d0RJ0w003
p12,4,p0120002,,,INTEGER,,,Male:,d4d0RJ0w004
p12,5,p0120003,,,INTEGER,,,Under 5 years,d4d0RJ0w005
p12,6,p0120004,,,INTEGER,,,5 to 9 years,d4d0RJ0w006
p12,7,p0120005,,,INTEGER,,,10 to 14 years,d4d0RJ0w007
p12,8,p0120006,,,INTEGER,,,15 to 17 years,d4d0RJ0w008
p12,9,p0120007,,,INTEGER,,,18 and 19 years,d4d0RJ0w009
p12,10,p0120008,,,INTEGER,,,20 years,d4d0RJ0w00a
p12,11,p0120009,,,INTEGER,,,21 years,d4d0RJ0w00b
p12,12,p0120010,,,INTEGER,,,22 to 24 years,d4d0RJ0w00c
p12,13,p0120011,,,INTEGER,,,25 to 29 years,d4d0RJ0w00d
p12,14,p0120012,,,INTEGER,,,30 to 34 years,d4d0RJ0w00e
p12,15,p0120013,,,INTEGER,,,35 to 39 years,d4d0RJ0w00f
p12,16,p0120014,,,INTEGER,,,40 to 44 years,d4d0RJ0w00g
p12,17,p0120015,,,INTEGER,,,45 to 49 years,d4d0RJ0w00h
p12,18,p0120016,,,INTEGER,,,50 to 54 years,d4d0RJ0w00i
p12,19,p0120017,,,INTEGER,,,55 to 59 years,d4d0RJ0w00j
p12,20,p0120018,,,INTEGER,,,60 and 61 years,d4d0RJ0w00k
p12,21,p0120019,,,INTEGER,,,62 to 64 years,d4d0RJ0w00l
p12,22,p0120020,,,INTEGER,,,65 and 66 years,d4d0RJ0w00m
p12,23,p0120021,,,INTEGER,,,67 to 69 years,d4d0RJ0w00n
p12,24,p0120022,,,INTEGER,,,70 to 74 years,d4d0RJ0w00o
p12,25,p0120023,,,INTEGER,,,75 to 79 years,d4d0RJ0w00p
p12,26,p0120024,,,INTEGER,,,80 to 84 years,d4d0RJ0w00q
p12,27,p0120025,,,INTEGER,,,85 years and over,d4d0RJ0w00r
p12,28,p0120026,,,INTEGER,,,Female:,d4d0RJ0w00s
p12,29,p0120027,,,INTEGER,,,Under 5 years,d4d0RJ0w00t
p12,30,p0120028,,,INTEGER,,,5 to 9 years,d4d0RJ0w00u
p12,31,p0120029,,,INTEGER,,,10 to 14 years,d4d0RJ0w00v
p12,32,p0120030,,,INTEGER,,,15 to 17 years,d4d0RJ0w00w
p12,33,p0120031,,,INTEGER,,,18 and 19 years,d4d0RJ0w00x
p12,34,p0120032,,,INTEGER,,,20 years,d4d0RJ0w00y
p12,35,p0120033,,,INTEGER,,,21 years,d4d0RJ0w00z
p12,36,p0120034,,,INTEGER,,,22 to 24 years,d4d0RJ0w00A
p12,37,p0120035,,,INTEGER,,,25 to 29 years,d4d0RJ0w00B
p12,38,p0120036,,,INTEGER,,,30 to 34 years,d4d0RJ0w00C
p12,39,p0120037,,,INTEGER,,,35 to 39 years,d4d0RJ0w00D
p12,40,p0120038,,,INTEGER,,,40 to 44 years,d4d0RJ0w00E
p12,41,p0120039,,,INTEGER,,,45 to 49 years,d4d0RJ0w00F
p12,42,p0120040,,,INTEGER,,,50 to 54 years,d4d0RJ0w00G
p12,43,p0120041,,,INTEGER,,,55 to 59 years,d4d0RJ0w00H
p12,44,p0120042,,,INTEGER,,,60 and 61 years,d4d0RJ0w00I
p12,45,p0120043,,,INTEGER,,,62 to 64 years,d4d0RJ0w00J
p12,46,p0120044,,,INTEGER,,,65 and 66 years,d4d0RJ0w00K
p12,47,p0120045,,,INTEGER,,,67 to 69 years,d4d0RJ0w00L
p12,48,p0120046,,,INTEGER,,,70 to 74 years,d4d0RJ0w00M
p12,49,p0120047,,,INTEGER,,,75 to 79 years,d4d0RJ0w00N
p12,50,p0120048,,,INTEGER,,,80 to 84 years,d4d0RJ0w00O
p12,51,p0120049,,,INTEGER,,,85 years and over,d4d0RJ0w00P
,,,,,,,,,
p13,1,id,1,,INTEGER64,,6,,d4d0RJ0x001
p13,2,geoid,,,VARCHAR,1,,,d4d0RJ0x002
p13,3,p0130001,,,REAL,,,Both sexes,d4d0RJ0x003
p13,4,p0130002,,,REAL,,,Male,d4d0RJ0x004
p13,5,p0130003,,,REAL,,,Female,d4d0RJ0x005
,,,,,,,,,
p14,1,id,1,,INTEGER64,,6,,d4d0RJ0y001
p14,2,geoid,,,VARCHAR,1,,,d4d0RJ0y002
p14,3,p0140001,,,INTEGER,,,Total:,d4d0RJ0y003
p14,4,p0140002,,,INTEGER,,,Male:,d4d0RJ0y004
p14,5,p0140003,,,INTEGER,,,Under 1 year,d4d0RJ0y005
p14,6,p0140004,,,INTEGER,,,1 year,d4d0RJ0y006
p14,7,p0140005,,,INTEGER,,,2 years,d4d0RJ0y007
p14,8,p0140006,,,INTEGER,,,3 years,d4d0RJ0y008
p14,9,p0140007,,,INTEGER,,,4 years,d4d0RJ0y009
p14,10,p0140008,,,INTEGER,,,5 years,d4d0RJ0y00a
p14,11,p0140009,,,INTEGER,,,6 years,d4d0RJ0y00b
p14,12,p0140010,,,INTEGER,,,7 years,d4d0RJ0y00c
p14,13,p0140011,,,INTEGER,,,8 years,d4d0RJ0y00d
p14,14,p0140012,,,INTEGER,,,9 years,d4d0RJ0y00e
p14,15,p0140013,,,INTEGER,,,10 years,d4d0RJ0y00f
p14,16,p0140014,,,INTEGER,,,11 years,d4d0RJ0y00g
p14,17,p0140015,,,INTEGER,,,12 years,d4d0RJ0y00h
p14,18,p0140016,,,INTEGER,,,13 years,d4d0RJ0y00i
p14,19,p0140017,,,INTEGER,,,14 years,d4d0RJ0y00j
p14,20,p0140018,,,INTEGER,,,15 years,d4d0RJ0y00k
p14,21,p0140019,,,INTEGER,,,16 years,d4d0RJ0y00l
p14,22,p0140020,,,INTEGER,,,17 years,d4d0RJ0y00m
p14,23,p0140021,,,INTEGER,,,18 years,d4d0RJ0y00n
p14,24,p0140022,,,INTEGER,,,19 years,d4d0RJ0y00o
p14,25,p0140023,,,INTEGER,,,Female:,d4d0RJ0y00p
p14,26,p0140024,,,INTEGER,,,Under 1 year,d4d0RJ0y00q
p14,27,p0140025,,,INTEGER,,,1 year,d4d0RJ0y00r
p14,28,p0140026,,,INTEGER,,,2 years,d4d0RJ0y00s
p14,29,p0140027,,,INTEGER,,,3 years,d4d0RJ0y00t
p14,30,p0140028,,,INTEGER,,,4 years,d4d0RJ0y00u
p14,31,p0140029,,,INTEGER,,,5 years,d4d0RJ0y00v
p14,32,p0140030,,,INTEGER,,,6 years,d4d0RJ0y00w
p14,33,p0140031,,,INTEGER,,,7 years,d4d0RJ0y00x
p14,34,p0140032,,,INTEGER,,,8 years,d4d0RJ0y00y
p14,35,p0140033,,,INTEGER,,,9 years,d4d0RJ0y00z
p14,36,p0140034,,,INTEGER,,,10 years,d4d0RJ0y00A
p14,37,p0140035,,,INTEGER,,,11 years,d4d0RJ0y00B
p14,38,p0140036,,,INTEGER,,,12 years,d4d0RJ0y00C
p14,39,p0140037,,,INTEGER,,,13 years,d4d0RJ0y00D
p14,40,p0140038,,,INTEGER,,,14 years,d4d0RJ0y00E
p14,41,p0140039,,,INTEGER,,,15 years,d4d0RJ0y00F
p14,42,p0140040,,,INTEGER,,,16 years,d4d0RJ0y00G
p14,43,p0140041,,,INTEGER,,,17 years,d4d0RJ0y00H
p14,44,p0140042,,,INTEGER,,,18 years,d4d0RJ0y00I
p14,45,p0140043,,,INTEGER,,,19 years,d4d0RJ0y00J
,,,,,,,,,
p15,1,id,1,,INTEGER64,,6,,d4d0RJ0z001
p15,2,geoid,,,VARCHAR,1,,,d4d0RJ0z002
p15,3,p0150001,,,INTEGER,,,Total:,d4d0RJ0z003
p15,4,p0150002,,,INTEGER,,,Not Hispanic or Latino householder:,d4d0RJ0z004
p15,5,p0150003,,,INTEGER,,,Householder who is White alone,d4d0RJ0z005
p15,6,p0150004,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0z006
p15,7,p0150005,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0z007
p15,8,p0150006,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0z008
p15,9,p0150007,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0z009
p15,10,p0150008,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0z00a
p15,11,p0150009,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0z00b
p15,12,p0150010,,,INTEGER,,,Hispanic or Latino householder:,d4d0RJ0z00c
p15,13,p0150011,,,INTEGER,,,Householder who is White alone,d4d0RJ0z00d
p15,14,p0150012,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0z00e
p15,15,p0150013,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0z00f
p15,16,p0150014,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0z00g
p15,17,p0150015,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0z00h
p15,18,p0150016,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0z00i
p15,19,p0150017,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0z00j
,,,,,,,,,
p16,1,id,1,,INTEGER64,,6,,d4d0RJ0A001
p16,2,geoid,,,VARCHAR,1,,,d4d0RJ0A002
p16,3,p0160001,,,INTEGER,,,Total:,d4d0RJ0A003
p16,4,p0160002,,,INTEGER,,,Under 18 years,d4d0RJ0A004
p16,5,p0160003,,,INTEGER,,,18 years and over,d4d0RJ0A005
,,,,,,,,,
p17,1,id,1,,INTEGER64,,6,,d4d0RJ0B001
p17,2,geoid,,,VARCHAR,1,,,d4d0RJ0B002
p17,3,p0170001,,,REAL,,,Total:,d4d0RJ0B003
p17,4,p0170002,,,REAL,,,Under 18 years,d4d0RJ0B004
p17,5,p0170003,,,REAL,,,18 years and over,d4d0RJ0B005
,,,,,,,,,
p18,1,id,1,,INTEGER64,,6,,d4d0RJ0C001
p18,2,geoid,,,VARCHAR,1,,,d4d0RJ0C002
p18,3,p0180001,,,INTEGER,,,Total:,d4d0RJ0C003
p18,4,p0180002,,,INTEGER,,,Family households:,d4d0RJ0C004
p18,5,p0180003,,,INTEGER,,,Husband-wife family,d4d0RJ0C005
p18,6,p0180004,,,INTEGER,,,Other family:,d4d0RJ0C006
p18,7,p0180005,,,INTEGER,,,"Male householder, no wife present",d4d0RJ0C007
p18,8,p0180006,,,INTEGER,,,"Female householder, no husband present",d4d0RJ0C008
p18,9,p0180007,,,INTEGER,,,Nonfamily households:,d4d0RJ0C009
p18,10,p0180008,,,INTEGER,,,Householder living alone,d4d0RJ0C00a
p18,11,p0180009,,,INTEGER,,,Householder not living alone,d4d0RJ0C00b
,,,,,,,,,
p19,1,id,1,,INTEGER64,,6,,d4d0RJ0D001
p19,2,geoid,,,VARCHAR,1,,,d4d0RJ0D002
p19,3,p0190001,,,INTEGER,,,Total:,d4d0RJ0D003
p19,4,p0190002,,,INTEGER,,,1-person household:,d4d0RJ0D004
p19,5,p0190003,,,INTEGER,,,Male householder,d4d0RJ0D005
p19,6,p0190004,,,INTEGER,,,Female householder,d4d0RJ0D006
p19,7,p0190005,,,INTEGER,,,2-or-more-person household:,d4d0RJ0D007
p19,8,p0190006,,,INTEGER,,,Family households:,d4d0RJ0D008
p19,9,p0190007,,,INTEGER,,,Husband-wife family:,d4d0RJ0D009
p19,10,p0190008,,,INTEGER,,,With own children under 18 years,d4d0RJ0D00a
p19,11,p0190009,,,INTEGER,,,No own children under 18 years,d4d0RJ0D00b
p19,12,p0190010,,,INTEGER,,,Other family:,d4d0RJ0D00c
p19,13,p0190011,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0D00d
p19,14,p0190012,,,INTEGER,,,With own children under 18 years,d4d0RJ0D00e
p19,15,p0190013,,,INTEGER,,,No own children under 18 years,d4d0RJ0D00f
p19,16,p0190014,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0D00g
p19,17,p0190015,,,INTEGER,,,With own children under 18 years,d4d0RJ0D00h
p19,18,p0190016,,,INTEGER,,,No own children under 18 years,d4d0RJ0D00i
p19,19,p0190017,,,INTEGER,,,Nonfamily households:,d4d0RJ0D00j
p19,20,p0190018,,,INTEGER,,,Male householder,d4d0RJ0D00k
p19,21,p0190019,,,INTEGER,,,Female householder,d4d0RJ0D00l
,,,,,,,,,
p2,1,id,1,,INTEGER64,,6,,d4d0RJ0E001
p2,2,geoid,,,VARCHAR,1,,,d4d0RJ0E002
p2,3,p0020001,,,INTEGER,,,Total:,d4d0RJ0E003
p2,4,p0020002,,,INTEGER,,,Urban:,d4d0RJ0E004
p2,5,p0020003,,,INTEGER,,,Inside urbanized areas,d4d0RJ0E005
p2,6,p0020004,,,INTEGER,,,Inside urban clusters,d4d0RJ0E006
p2,7,p0020005,,,INTEGER,,,Rural,d4d0RJ0E007
p2,8,p0020006,,,INTEGER,,,Not defined for this file,d4d0RJ0E008
,,,,,,,,,
p20,1,id,1,,INTEGER64,,6,,d4d0RJ0F001
p20,2,geoid,,,VARCHAR,1,,,d4d0RJ0F002
p20,3,p0200001,,,INTEGER,,,Total:,d4d0RJ0F003
p20,4,p0200002,,,INTEGER,,,Households with one or more people under 18 years:,d4d0RJ0F004
p20,5,p0200003,,,INTEGER,,,Family households:,d4d0RJ0F005
p20,6,p0200004,,,INTEGER,,,Husband-wife family:,d4d0RJ0F006
p20,7,p0200005,,,INTEGER,,,Under 6 years only,d4d0RJ0F007
p20,8,p0200006,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ0F008
